Gender,EHP,credit_history,Experience,annual_claims,Marital_Status,type,Miles,size,credit,,target
M,99,745,21,1,Married,Truck,11183,8,Very Good,,1
F,190,512,2,1,Married,Truck,73861,5,Very Poor,,1
F,470,647,8,2,Single,Truck,10958,2,Fair,,1
F,454,664,6,3,Single,Truck,10984,2,Fair,,1
M,144,760,24,0,Married,Van,6770,2,Very Good,,1
F,438,701,6,3,Single,Truck,13082,3,Good,,1
F,95,670,18,1,Married,Car,5608,6,Good,,1
F,152,736,33,2,Married,Car,5086,7,Good,,0
M,99,691,22,0,Married,Utility,6459,2,Good,,1
M,88,787,38,0,Married,Van,10581,5,Very Good,,0
F,106,670,24,1,Single,Car,8532,8,Good,,1
F,313,737,7,3,Single,Truck,11978,3,Good,,1
F,110,714,10,1,Married,Truck,92321,7,Good,,1
M,324,341,1,2,Married,Car,18298,6,Very Poor,,1
F,95,771,15,0,Single,Car,6013,2,Very Good,,1
M,101,678,14,1,Married,Van,11590,7,Good,,0
F,146,725,35,1,Married,Truck,7387,2,Good,,1
M,88,773,18,0,Married,Van,5860,3,Very Good,,1
M,121,728,10,1,Single,Utility,14309,7,Good,,1
M,83,758,15,1,Married,Van,6710,3,Very Good,,1
M,335,700,5,1,Married,Van,61590,1,Good,,1
M,144,799,29,0,Married,Van,12070,3,Very Good,,1
F,137,758,16,0,Married,Car,20219,8,Very Good,,1
M,117,679,7,1,Single,Utility,10466,3,Good,,0
F,158,677,30,1,Married,Car,8512,6,Good,,0
F,104,672,21,0,Single,Car,9601,5,Good,,0
M,334,584,3,1,Single,Car,14423,2,Fair,,1
F,160,687,6,1,Married,Car,9838,6,Good,,0
M,110,820,2,2,Single,Car,13960,6,Exceptional,,1
M,89,758,21,1,Married,Van,5028,2,Very Good,,0
F,122,714,24,1,Married,Car,8629,7,Good,,1
M,130,365,5,2,Single,Car,11682,4,Very Poor,,1
M,181,591,5,1,Single,Car,12501,7,Fair,,1
M,136,751,15,0,Married,Van,9144,2,Very Good,,1
M,139,676,8,2,Married,Car,76805,2,Good,,1
M,199,713,2,3,Single,Car,11266,7,Good,,1
F,270,735,5,3,Single,Truck,14202,5,Good,,1
M,105,759,17,1,Married,Van,7903,7,Very Good,,0
M,134,684,12,1,Single,Utility,6381,8,Good,,1
F,381,303,6,3,Single,Truck,13503,4,Very Poor,,0
M,93,810,16,1,Single,Utility,5020,2,Exceptional,,0
M,142,766,15,1,Married,Van,14239,6,Very Good,,1
F,113,687,22,0,Married,Truck,10911,8,Good,,1
F,241,705,6,3,Single,Truck,14835,2,Good,,1
F,499,669,5,3,Single,Truck,12419,7,Fair,,1
M,123,792,5,0,Single,Utility,5405,2,Very Good,,0
F,540,715,7,0,Married,Car,16221,1,Good,,1
M,124,815,14,1,Single,Utility,11829,4,Exceptional,,0
F,148,641,8,3,Single,Van,29298,1,Fair,,1
M,126,776,3,1,Married,Truck,13877,4,Very Good,,1
F,127,760,23,1,Married,Car,8420,7,Very Good,,1
M,118,844,39,0,Single,Utility,6823,8,Exceptional,,0
M,159,610,5,2,Single,Car,23801,4,Fair,,1
M,88,714,14,0,Married,Truck,46788,4,Good,,1
F,137,789,12,1,Married,Truck,11848,4,Very Good,,0
M,88,505,3,0,Married,Van,54302,5,Very Poor,,1
M,123,741,20,0,Married,Van,12535,8,Very Good,,1
F,190,716,4,0,Married,Truck,52381,2,Good,,0
M,151,770,32,1,Married,Truck,14709,4,Very Good,,1
M,102,697,12,1,Married,Utility,7248,1,Good,,1
F,96,762,13,0,Married,Car,6587,4,Very Good,,1
M,469,693,4,2,Married,Car,12168,3,Good,,0
M,119,699,21,1,Married,Van,11136,1,Good,,1
M,192,729,1,2,Single,Car,11741,3,Good,,1
M,113,765,38,0,Married,Van,10778,3,Very Good,,0
F,101,678,15,1,Married,Car,11073,3,Good,,0
M,106,767,4,0,Married,Truck,11986,3,Very Good,,1
M,119,707,23,1,Married,Van,14521,7,Good,,1
F,81,753,10,1,Married,Truck,7490,5,Very Good,,1
M,121,606,6,3,Married,Truck,33207,4,Fair,,1
M,80,681,40,4,Single,Utility,9340,4,Good,,1
F,147,782,19,0,Married,Car,11403,8,Very Good,,1
M,87,716,9,0,Married,Car,53361,2,Good,,1
M,381,580,5,1,Single,Utility,13120,7,Fair,,0
M,143,689,11,1,Married,Van,10856,8,Good,,1
M,109,678,12,0,Married,Van,8575,6,Good,,1
M,125,721,6,1,Single,Utility,12715,2,Good,,1
M,472,670,2,3,Single,Car,11491,4,Good,,1
F,82,771,16,3,Married,Truck,16896,2,Very Good,,1
F,447,636,7,3,Single,Truck,10321,3,Fair,,1
M,106,733,9,1,Married,Utility,82963,6,Good,,1
F,630,681,18,3,Married,Truck,19204,8,Good,,1
F,176,710,5,2,Single,Van,13206,6,Good,,1
M,144,581,4,3,Single,Car,87207,6,Fair,,0
M,140,705,40,1,Married,Van,6358,6,Good,,0
F,535,721,34,0,Married,Truck,20000,1,Good,,1
F,457,678,6,2,Single,Truck,14212,5,Good,,0
M,149,787,12,4,Single,Utility,7375,8,Very Good,,1
F,338,605,6,0,Single,Truck,13572,2,Fair,,0
F,112,799,15,0,Single,Car,6141,4,Very Good,,1
M,112,780,16,1,Single,Utility,12180,7,Very Good,,1
M,101,681,29,1,Married,Truck,13460,7,Good,,1
F,81,794,13,1,Married,Truck,7150,8,Very Good,,1
M,121,670,16,1,Single,Utility,5143,5,Good,,1
F,380,700,19,1,Married,Car,22585,3,Good,,1
F,127,672,8,2,Married,Car,27505,2,Good,,1
F,196,509,1,1,Married,Car,70639,7,Very Poor,,1
M,140,740,40,0,Married,Utility,14528,2,Very Good,,1
M,192,622,2,2,Single,Car,51395,7,Fair,,0
M,144,723,16,0,Married,Van,9155,3,Good,,1
F,147,701,10,1,Married,Car,42936,4,Good,,1
M,294,536,2,0,Married,Van,68527,7,Very Poor,,0
M,428,627,3,1,Single,Utility,14725,1,Fair,,0
F,137,750,20,1,Married,Truck,8283,5,Very Good,,0
M,88,681,25,1,Married,Truck,8804,3,Good,,1
F,116,771,32,1,Married,Car,11294,1,Very Good,,1
F,159,783,27,3,Married,Truck,20450,2,Very Good,,1
M,140,662,3,0,Married,Truck,10408,8,Fair,,0
M,188,598,5,0,Single,Car,12367,6,Fair,,1
M,95,753,15,0,Single,Utility,9803,5,Very Good,,1
F,231,517,8,2,Single,Truck,13200,1,Very Poor,,1
M,93,354,2,2,Single,Car,13736,5,Very Poor,,0
M,96,833,9,1,Single,Utility,8060,4,Exceptional,,1
M,253,702,4,1,Married,Utility,43770,4,Good,,0
M,140,784,13,1,Married,Van,6290,2,Very Good,,0
M,105,685,10,1,Married,Truck,12632,1,Good,,1
F,210,595,8,0,Single,Truck,12666,1,Fair,,1
M,370,336,1,2,Single,Car,16204,6,Very Poor,,1
F,115,760,37,1,Married,Car,5688,1,Very Good,,1
F,142,741,26,1,Married,Car,10628,2,Very Good,,0
M,82,746,28,0,Married,Utility,9280,4,Very Good,,0
M,130,706,4,2,Single,Car,13179,1,Good,,1
F,153,747,23,1,Married,Car,9028,7,Very Good,,1
M,265,730,6,1,Married,Truck,78592,4,Good,,0
M,407,712,2,1,Married,Car,14886,2,Good,,1
F,302,690,7,2,Single,Truck,11709,6,Good,,1
M,101,760,27,0,Married,Truck,5329,2,Very Good,,1
M,261,476,3,2,Single,Car,11928,7,Very Poor,,1
M,91,799,3,0,Married,Van,6826,8,Very Good,,1
M,101,692,23,0,Married,Truck,13289,4,Good,,1
F,152,675,28,1,Married,Car,9407,5,Good,,1
F,88,796,19,0,Married,Car,9844,1,Very Good,,0
M,132,776,5,0,Married,Van,11716,7,Very Good,,0
M,184,636,2,3,Single,Car,34517,3,Fair,,0
F,395,619,6,3,Single,Truck,11460,3,Fair,,1
F,150,684,25,1,Married,Car,7431,3,Good,,1
F,491,705,28,1,Married,Car,17459,1,Good,,0
F,351,841,7,3,Single,Truck,16250,6,Exceptional,,1
F,358,710,5,3,Single,Truck,11920,2,Good,,1
F,388,686,6,3,Single,Truck,13064,4,Good,,1
M,455,548,2,2,Married,Car,13821,8,Very Poor,,1
M,206,626,2,3,Married,Car,75787,8,Fair,,1
F,102,783,18,0,Married,Car,10059,8,Very Good,,1
M,135,764,20,0,Married,Van,10094,5,Very Good,,1
M,107,506,4,3,Single,Car,14535,6,Very Poor,,1
M,112,775,15,1,Married,Van,10585,5,Very Good,,1
F,144,678,17,0,Married,Truck,13117,5,Good,,1
M,127,780,21,1,Married,Van,8129,6,Very Good,,0
F,122,694,16,0,Married,Car,13285,2,Good,,0
M,189,695,7,0,Married,Van,50377,2,Good,,1
F,112,678,36,0,Married,Truck,6465,6,Good,,0
M,143,783,13,4,Single,Utility,8337,3,Very Good,,0
F,136,688,37,0,Married,Car,23983,3,Good,,0
M,94,752,33,1,Married,Van,13864,7,Very Good,,1
M,198,823,2,3,Single,Car,12734,4,Exceptional,,1
M,91,691,10,0,Single,Utility,5794,8,Good,,0
M,106,745,9,0,Married,Van,10147,5,Very Good,,1
M,112,702,25,0,Married,Truck,10422,3,Good,,0
F,491,603,8,3,Single,Truck,10855,8,Fair,,0
M,117,685,24,1,Married,Truck,10828,2,Good,,0
F,137,401,8,3,Single,Truck,11478,6,Very Poor,,0
F,382,487,7,2,Single,Truck,10605,2,Very Poor,,0
M,125,584,6,2,Married,Truck,20620,3,Fair,,0
M,207,688,3,2,Married,Car,11936,7,Good,,1
M,91,787,23,1,Married,Van,7763,3,Very Good,,1
M,131,850,10,1,Single,Utility,13702,8,Exceptional,,1
M,159,541,1,3,Single,Car,14921,5,Very Poor,,1
M,121,790,14,0,Married,Truck,5626,7,Very Good,,1
F,110,682,5,1,Married,Car,30647,3,Good,,1
F,349,517,3,0,Married,Car,58306,2,Very Poor,,1
M,144,764,14,1,Married,Van,12292,1,Very Good,,0
F,140,722,7,3,Single,Van,12993,5,Good,,1
F,96,781,8,0,Married,Car,7398,8,Very Good,,1
M,116,735,19,1,Married,Utility,8215,1,Good,,1
M,141,638,7,3,Married,Truck,90158,5,Fair,,1
M,122,760,14,1,Married,Truck,12103,5,Very Good,,1
F,82,768,38,1,Single,Car,14055,8,Very Good,,0
F,151,709,13,0,Married,Car,12884,8,Good,,1
F,300,614,6,1,Single,Truck,13029,1,Fair,,0
M,301,521,1,1,Married,Van,89002,7,Very Poor,,1
M,124,765,16,0,Married,Truck,13336,2,Very Good,,1
F,142,756,20,1,Married,Car,14733,3,Very Good,,0
M,117,699,3,2,Single,Car,10769,2,Good,,0
M,84,695,20,0,Married,Van,11696,3,Good,,1
F,380,350,6,3,Single,Truck,14052,6,Very Poor,,1
F,346,554,1,0,Married,Truck,81969,8,Very Poor,,1
F,104,687,28,1,Married,Truck,8506,3,Good,,0
F,84,698,12,1,Married,Car,53484,1,Good,,1
F,94,688,16,1,Single,Car,8484,1,Good,,1
F,174,429,2,0,Married,Car,74066,4,Very Poor,,0
M,114,725,5,0,Married,Car,71603,6,Good,,1
M,186,680,8,2,Married,Truck,12330,4,Good,,1
M,154,786,13,1,Single,Utility,14416,7,Very Good,,1
M,148,608,1,2,Single,Car,18443,6,Fair,,0
F,299,834,8,3,Single,Truck,22178,7,Exceptional,,1
M,92,685,5,0,Married,Van,9471,8,Good,,1
M,407,441,4,3,Single,Utility,12312,8,Very Poor,,1
M,156,353,3,3,Single,Car,13369,5,Very Poor,,0
F,130,606,8,3,Single,Van,62799,7,Fair,,0
F,230,594,7,1,Single,Utility,11740,8,Fair,,0
F,84,708,26,1,Married,Car,6148,5,Good,,0
F,117,762,11,0,Married,Car,21330,4,Very Good,,0
M,94,768,3,1,Married,Van,12467,2,Very Good,,1
F,101,726,26,2,Married,Car,13589,2,Good,,0
M,116,715,19,1,Married,Truck,12340,2,Good,,1
M,134,711,10,1,Married,Truck,8612,6,Good,,1
M,463,610,4,1,Single,Car,12638,4,Fair,,1
F,137,730,6,3,Single,Van,13648,7,Good,,1
M,157,672,13,1,Single,Utility,7810,1,Good,,1
M,101,679,16,0,Married,Van,7010,7,Good,,1
M,99,791,10,0,Married,Utility,8193,6,Very Good,,1
M,125,760,21,0,Married,Truck,10591,6,Very Good,,1
M,135,714,14,1,Married,Van,9085,4,Good,,0
F,149,762,24,0,Married,Car,24166,1,Very Good,,1
F,137,793,12,1,Married,Car,13067,2,Very Good,,0
M,118,621,6,2,Married,Truck,32947,5,Fair,,1
F,510,790,4,0,Married,Car,10955,7,Very Good,,1
F,124,793,27,0,Married,Truck,NA,3,Very Good,,1
M,116,777,28,1,Married,Van,10346,7,Very Good,,1
F,160,689,13,1,Married,Car,16026,8,Good,,1
M,86,671,27,1,Married,Utility,7164,6,Good,,0
F,249,612,7,1,Single,Truck,12658,1,Fair,,1
M,90,706,12,0,Married,Van,5641,4,Good,,1
M,164,651,7,1,Married,Truck,11510,6,Fair,,1
F,139,717,17,0,Married,Car,5834,7,Good,,1
M,102,774,22,0,Married,Truck,9975,4,Very Good,,0
F,140,759,25,0,Married,Car,11081,6,Very Good,,1
F,104,679,24,0,Married,Truck,12764,7,Good,,1
F,118,790,31,1,Married,Truck,10298,1,Very Good,,1
F,90,696,21,0,Married,Car,9804,2,Good,,1
M,105,753,40,0,Married,Van,12178,5,Very Good,,1
F,115,741,20,1,Married,Car,14858,1,Very Good,,1
F,226,641,7,0,Single,Truck,12013,7,Fair,,0
F,602,670,5,1,Married,Car,93547,1,Good,,0
F,82,575,2,0,Married,Car,87526,3,Very Poor,,1
M,156,786,10,0,Single,Utility,9225,3,Very Good,,1
M,98,783,4,1,Married,Van,14993,1,Very Good,,1
F,488,660,7,3,Single,Utility,11330,2,Fair,,0
M,399,726,2,2,Married,Car,11835,3,Good,,1
M,369,719,5,3,Married,Car,11094,6,Good,,1
F,114,796,18,0,Married,Car,9196,2,Very Good,,1
M,127,832,10,4,Single,Utility,13617,1,Exceptional,,1
M,432,648,2,2,Married,Car,53646,7,Fair,,0
M,115,744,17,1,Married,Van,14639,5,Very Good,,1
F,115,699,18,1,Married,Car,8125,8,Good,,0
M,218,616,1,3,Single,Car,49941,1,Fair,,1
M,92,729,9,0,Married,Utility,37881,6,Good,,1
M,113,460,2,2,Single,Car,14386,6,Very Poor,,0
F,144,685,35,1,Married,Truck,6133,5,Good,,0
M,260,731,3,2,Single,Car,11812,7,Good,,0
F,84,683,16,1,Married,Car,14031,3,Good,,0
M,351,819,1,0,Married,Car,21669,3,Exceptional,,1
F,398,732,8,0,Married,Car,17306,1,Good,,1
M,290,592,3,1,Married,Car,12065,2,Fair,,0
M,138,712,18,0,Married,Truck,14073,6,Good,,0
M,104,753,23,0,Single,Utility,10147,4,Very Good,,1
M,127,795,4,0,Married,Van,12157,2,Very Good,,0
M,142,729,2,2,Single,Car,17687,1,Good,,1
F,88,721,24,0,Married,Car,13410,1,Good,,1
M,160,383,7,3,Married,Truck,10031,4,Very Poor,,0
F,142,775,15,1,Married,Car,11147,6,Very Good,,0
F,443,693,5,3,Married,Truck,19260,3,Good,,1
M,148,767,39,0,Married,Van,10130,4,Very Good,,1
M,477,496,2,2,Married,Car,10879,4,Very Poor,,1
M,331,673,5,2,Married,Car,14664,2,Good,,1
M,104,708,22,1,Married,Van,11028,5,Good,,1
F,129,725,23,0,Married,Car,7114,4,Good,,1
F,332,684,4,0,Single,Car,67550,3,Good,,0
F,146,787,15,1,Married,Car,24074,5,Very Good,,0
M,133,708,3,3,Single,Car,11784,7,Good,,1
M,116,661,7,2,Married,Truck,48153,4,Fair,,0
M,104,762,23,1,Single,Utility,10598,1,Very Good,,0
M,85,741,28,1,Married,Utility,5647,5,Very Good,,0
M,475,599,2,3,Single,Utility,59300,7,Fair,,0
M,106,560,2,2,Single,Car,11683,2,Very Poor,,1
M,194,602,1,3,Single,Car,70022,7,Fair,,1
F,160,774,11,0,Married,Car,12625,7,Very Good,,1
F,155,776,20,1,Single,Car,8942,1,Very Good,,0
F,134,791,5,0,Married,Car,19384,7,Very Good,,1
M,108,756,5,1,Married,Truck,8665,5,Very Good,,1
F,94,777,21,0,Married,Truck,20714,8,Very Good,,0
F,319,489,7,3,Single,Truck,14522,5,Very Poor,,1
M,222,453,3,3,Married,Car,14036,6,Very Poor,,1
M,123,758,21,1,Married,Van,6424,1,Very Good,,0
M,156,675,17,0,Married,Van,7724,2,Good,,0
F,275,722,6,2,Single,Truck,13001,3,Good,,1
F,150,768,28,1,Married,Car,21375,3,Very Good,,1
M,86,775,17,1,Married,Van,8279,8,Very Good,,1
F,86,760,10,1,Married,Car,18384,3,Very Good,,1
M,153,386,2,2,Single,Car,10569,6,Very Poor,,1
M,153,771,20,1,Single,Utility,7794,7,Very Good,,1
F,110,677,29,0,Married,Car,8031,1,Good,,1
F,143,694,17,1,Married,Car,7651,7,Good,,1
M,127,707,5,1,Married,Van,56591,6,Good,,1
F,157,678,37,1,Married,Car,12989,8,Good,,1
F,459,605,6,2,Single,Truck,24236,3,Fair,,0
F,143,736,24,1,Married,Car,12517,8,Good,,1
M,296,329,4,2,Single,Car,13653,3,Very Poor,,1
M,116,724,6,0,Married,Van,87549,1,Good,,1
F,99,743,16,1,Married,Car,7545,3,Very Good,,1
F,119,675,5,0,Married,Truck,6911,7,Good,,1
M,136,790,19,1,Married,Truck,14871,4,Very Good,,1
M,477,676,4,2,Married,Car,14341,1,Good,,1
F,95,784,16,1,Married,Car,13529,3,Very Good,,1
M,137,672,15,1,Married,Van,9130,4,Good,,0
F,686,701,17,0,Married,Car,19758,2,Good,,0
M,129,699,20,1,Married,Car,5892,2,Good,,1
M,95,695,12,1,Married,Van,13213,4,Good,,0
M,124,729,25,0,Married,Van,9249,3,Good,,1
F,122,671,15,0,Married,Car,14702,8,Good,,1
M,185,611,2,3,Single,Car,89063,3,Fair,,1
F,86,684,12,1,Single,Car,45025,8,Good,,1
F,297,585,7,3,Single,Truck,19974,1,Fair,,1
M,112,753,9,1,Married,Utility,6854,4,Very Good,,1
F,82,734,17,1,Married,Truck,13889,4,Good,,0
M,183,726,4,2,Single,Car,14199,3,Good,,1
F,427,412,6,3,Single,Truck,18521,2,Very Poor,,0
M,137,690,30,1,Married,Truck,6268,8,Good,,0
F,335,624,6,0,Single,Truck,13769,7,Fair,,1
F,138,679,6,2,Single,Van,13438,2,Good,,0
F,373,348,8,3,Single,Truck,13616,4,Very Poor,,0
M,132,694,30,1,Single,Utility,7926,2,Good,,1
F,130,760,7,1,Married,Truck,7017,3,Very Good,,1
F,436,348,8,2,Single,Truck,13836,7,Very Poor,,1
M,110,797,21,0,Married,Van,6658,7,Very Good,,1
M,115,795,4,1,Married,Van,5388,6,Very Good,,1
F,153,685,22,1,Married,Car,13382,2,Good,,1
F,105,719,22,0,Married,Car,6198,5,Good,,0
M,131,760,15,1,Married,Van,8560,4,Very Good,,1
M,119,475,2,2,Single,Car,11053,3,Very Poor,,1
M,139,743,6,0,Married,Utility,14217,5,Very Good,,1
M,91,486,5,3,Single,Car,14918,5,Very Poor,,0
M,99,775,25,0,Married,Van,9494,5,Very Good,,1
M,157,774,27,1,Married,Van,13641,8,Very Good,,1
M,135,671,23,1,Married,Van,10674,7,Good,,1
F,350,820,7,3,Single,Truck,17226,2,Exceptional,,0
M,160,702,21,0,Married,Utility,5372,2,Good,,1
F,93,700,19,1,Married,Car,6348,5,Good,,0
F,146,712,19,0,Single,Car,6763,1,Good,,0
F,325,626,5,0,Single,Utility,14069,1,Fair,,1
M,482,619,4,1,Married,Car,14756,8,Fair,,1
F,448,704,18,3,Married,Truck,23873,4,Good,,1
F,120,786,22,1,Married,Truck,14550,6,Very Good,,1
F,140,752,13,0,Single,Car,11950,7,Very Good,,1
F,94,426,6,2,Single,Truck,11916,7,Very Poor,,1
F,644,688,19,1,Married,Car,20707,5,Good,,0
F,153,786,8,0,Married,Car,8192,7,Very Good,,0
M,483,607,4,3,Married,Car,13656,2,Fair,,1
M,92,695,1,2,Single,Car,24746,2,Good,,1
M,148,704,7,1,Married,Van,88543,6,Good,,0
M,108,749,18,1,Married,Truck,12643,6,Very Good,,1
M,130,698,26,1,Married,Van,12614,5,Good,,1
F,123,717,21,0,Married,Car,6976,5,Good,,0
F,140,709,16,1,Married,Car,8343,7,Good,,1
M,151,703,14,1,Married,Van,10647,2,Good,,0
M,160,747,22,0,Married,Van,10917,4,Very Good,,1
F,484,456,7,3,Single,Truck,14110,8,Very Poor,,1
F,150,718,36,0,Married,Truck,9306,4,Good,,1
F,380,620,6,2,Single,Utility,19039,7,Fair,,1
F,142,768,5,1,Married,Car,7380,7,Very Good,,1
F,92,730,10,3,Married,Truck,8694,6,Good,,1
F,152,617,5,3,Single,Van,54338,5,Fair,,1
M,94,693,6,1,Married,Van,71629,5,Good,,0
M,158,751,20,4,Single,Utility,5560,4,Very Good,,1
M,99,770,12,0,Married,Van,14951,7,Very Good,,1
M,361,649,3,0,Married,Car,11547,7,Fair,,1
M,137,690,5,0,Married,Utility,9709,5,Good,,1
F,599,783,7,0,Married,Truck,13356,6,Very Good,,0
F,90,724,29,0,Married,Truck,5759,2,Good,,1
M,274,702,2,2,Married,Car,11892,6,Good,,0
F,591,689,15,0,Married,Car,19187,3,Good,,0
F,96,727,6,1,Married,Truck,27148,2,Good,,1
F,124,676,15,0,Married,Truck,9924,1,Good,,1
M,111,585,3,2,Single,Car,93553,6,Fair,,1
M,147,793,17,1,Married,Truck,6614,2,Very Good,,1
M,534,704,34,0,Married,Van,5700,3,Good,,1
M,112,678,12,1,Married,Van,10589,4,Good,,1
M,407,672,4,2,Married,Car,10162,6,Good,,1
F,146,767,30,1,Married,Truck,7625,7,Very Good,,1
M,243,682,4,2,Married,Car,12761,3,Good,,0
F,151,778,12,1,Married,Car,20264,7,Very Good,,1
M,119,691,18,0,Married,Van,9881,3,Good,,1
M,261,334,2,3,Single,Utility,19652,6,Very Poor,,0
M,293,709,2,3,Single,Car,10227,8,Good,,1
F,126,748,10,0,Married,Car,12907,6,Very Good,,1
M,97,775,18,1,Married,Van,12219,1,Very Good,,0
M,132,848,1,3,Single,Car,13463,1,Exceptional,,1
M,158,751,7,0,Married,Truck,11547,8,Very Good,,1
M,117,739,16,1,Married,Van,13381,3,Good,,1
M,159,748,22,0,Married,Van,14794,6,Very Good,,0
F,395,702,6,2,Single,Truck,10746,3,Good,,1
M,154,777,15,0,Married,Van,8354,2,Very Good,,1
M,136,711,3,1,Single,Utility,12458,1,Good,,1
M,96,747,19,1,Married,Utility,9547,3,Very Good,,1
F,156,793,16,1,Married,Car,8276,8,Very Good,,1
M,128,699,3,2,Single,Car,14935,6,Good,,0
F,124,764,3,0,Single,Car,6365,5,Very Good,,1
F,391,718,6,3,Single,Truck,11857,7,Good,,1
F,105,704,35,1,Married,Car,5871,8,Good,,1
M,142,684,39,1,Married,Van,10515,6,Good,,0
M,235,646,5,1,Single,Car,14895,8,Fair,,0
F,127,690,23,0,Married,Car,6173,5,Good,,1
M,103,793,19,0,Married,Van,9232,3,Very Good,,1
F,424,774,7,1,Married,Car,7402,4,Very Good,,1
F,97,785,30,1,Married,Truck,5585,1,Very Good,,0
M,257,305,2,2,Married,Car,10042,8,Very Poor,,1
M,152,676,22,1,Married,Van,8793,5,Good,,0
M,340,667,2,3,Single,Car,15597,7,Fair,,1
F,122,795,7,1,Married,Car,23957,8,Very Good,,1
F,497,594,5,2,Single,Truck,10172,1,Fair,,1
F,117,749,15,0,Married,Car,11151,5,Very Good,,1
F,165,674,7,2,Single,Truck,10311,8,Good,,1
F,103,799,18,1,Married,Car,5023,7,Very Good,,1
F,113,354,7,3,Single,Van,13567,3,Very Poor,,0
M,111,767,22,1,Married,Utility,10946,6,Very Good,,0
M,104,786,14,1,Married,Van,11601,4,Very Good,,1
F,252,825,7,2,Single,Truck,16760,8,Exceptional,,0
M,179,713,8,3,Married,Truck,13539,7,Good,,1
M,397,690,2,3,Single,Car,10074,5,Good,,0
F,138,775,35,0,Married,Truck,9453,7,Very Good,,1
M,128,731,10,0,Married,Truck,33438,2,Good,,1
M,123,629,8,4,Married,Truck,16660,4,Fair,,0
F,271,724,7,1,Married,Car,81401,6,Good,,0
M,88,744,9,0,Married,Van,8784,7,Very Good,,0
M,88,735,16,4,Single,Utility,12806,4,Good,,1
F,125,709,18,1,Married,Car,9907,4,Good,,0
M,92,688,5,1,Married,Utility,12263,8,Good,,1
M,126,685,3,2,Single,Car,10613,6,Good,,1
F,443,584,8,2,Single,Truck,12911,3,Fair,,0
F,147,787,10,0,Married,Car,17861,2,Very Good,,1
M,140,732,13,1,Married,Truck,14785,8,Good,,1
M,139,689,4,1,Married,Van,8343,7,Good,,1
M,127,682,9,1,Married,Van,13189,1,Good,,0
M,227,594,3,1,Married,Car,10471,6,Fair,,1
M,158,672,6,2,Married,Truck,10740,5,Good,,1
F,360,655,7,3,Single,Truck,18782,5,Fair,,1
F,104,703,18,0,Married,Truck,8561,1,Good,,1
M,489,736,1,3,Single,Utility,13247,2,Good,,1
F,94,689,20,1,Married,Car,10994,8,Good,,1
M,108,717,18,0,Married,Van,10937,7,Good,,0
F,130,613,5,3,Single,Van,23508,7,Fair,,1
F,242,616,5,3,Single,Truck,22640,6,Fair,,1
F,288,724,5,3,Single,Truck,12332,2,Good,,1
M,199,581,1,3,Single,Car,23146,6,Fair,,0
M,117,655,5,3,Single,Car,67483,4,Fair,,1
F,120,430,6,3,Single,Van,11018,7,Very Poor,,1
F,112,794,21,0,Married,Truck,9703,1,Very Good,,0
M,126,763,21,1,Married,Van,7715,1,Very Good,,0
M,500,369,3,2,Single,Car,10936,5,Very Poor,,1
M,300,372,2,3,Married,Car,13379,5,Very Poor,,1
M,132,733,25,0,Married,Van,7388,5,Good,,0
M,93,798,32,1,Married,Van,7970,6,Very Good,,1
F,90,778,14,0,Single,Car,12371,1,Very Good,,1
F,158,738,24,1,Married,Car,14965,2,Good,,0
M,150,817,1,3,Single,Car,12008,2,Exceptional,,1
F,210,591,6,1,Single,Truck,13640,7,Fair,,1
M,117,749,7,1,Married,Truck,13398,7,Very Good,,0
F,124,717,10,0,Married,Car,5844,4,Good,,1
F,151,677,5,1,Single,Car,12608,2,Good,,1
F,109,700,19,0,Married,Car,13414,5,Good,,1
F,132,758,17,1,Married,Truck,7804,4,Very Good,,0
F,95,718,17,2,Married,Car,5483,3,Good,,1
M,162,666,7,1,Married,Truck,14101,7,Fair,,0
F,132,705,17,1,Married,Car,12568,2,Good,,1
M,198,406,2,2,Single,Car,10413,8,Very Poor,,0
M,113,737,22,1,Married,Truck,13977,3,Good,,0
F,123,674,33,1,Married,Truck,6726,5,Good,,1
M,312,693,5,1,Married,Car,14811,2,Good,,0
F,113,705,11,1,Married,Car,11565,1,Good,,1
M,609,643,1,0,Married,Truck,14386,8,Fair,,1
F,184,584,5,1,Single,Van,11668,8,Fair,,1
F,387,735,5,2,Single,Truck,12998,2,Good,,0
M,131,673,26,1,Married,Van,13788,5,Good,,1
F,351,712,5,3,Single,Truck,14298,1,Good,,1
F,233,591,6,0,Single,Truck,12517,8,Fair,,1
M,413,712,5,3,Married,Car,12891,6,Good,,1
M,127,684,22,1,Married,Van,5617,8,Good,,1
M,132,781,29,0,Married,Truck,10587,8,Very Good,,1
M,98,726,8,3,Married,Truck,13346,2,Good,,1
M,154,787,4,0,Single,Utility,11338,2,Very Good,,0
F,95,689,1,0,Married,Car,10134,7,Good,,1
M,132,792,9,0,Married,Van,11831,1,Very Good,,1
M,147,745,18,0,Married,Truck,12845,8,Very Good,,1
M,144,678,28,1,Married,Van,6603,2,Good,,1
M,136,765,12,4,Single,Utility,11617,4,Very Good,,1
M,311,642,1,2,Single,Utility,43019,4,Fair,,1
M,84,687,17,0,Single,Utility,8097,7,Good,,0
M,147,762,16,1,Married,Van,6701,3,Very Good,,1
F,135,799,10,0,Married,Car,11927,6,Very Good,,1
